timestamp, power.draw [W]
2025/05/07 17:53:12.821, 10.85 W
2025/05/07 17:53:12.838, 10.85 W
2025/05/07 17:53:12.848, 10.84 W
2025/05/07 17:53:12.859, 10.84 W
2025/05/07 17:53:12.869, 10.84 W
2025/05/07 17:53:12.879, 10.84 W
2025/05/07 17:53:12.889, 10.84 W
2025/05/07 17:53:12.899, 10.84 W
2025/05/07 17:53:12.909, 10.84 W
2025/05/07 17:53:12.919, 10.84 W
2025/05/07 17:53:12.929, 10.84 W
2025/05/07 17:53:12.940, 10.84 W
2025/05/07 17:53:12.950, 10.90 W
2025/05/07 17:53:12.960, 10.90 W
2025/05/07 17:53:12.970, 10.90 W
2025/05/07 17:53:12.980, 10.90 W
2025/05/07 17:53:12.990, 10.90 W
2025/05/07 17:53:13.000, 10.90 W
2025/05/07 17:53:13.010, 10.90 W
2025/05/07 17:53:13.021, 10.90 W
2025/05/07 17:53:13.031, 10.90 W
2025/05/07 17:53:13.041, 10.90 W
2025/05/07 17:53:13.051, 10.90 W
2025/05/07 17:53:13.061, 10.90 W
2025/05/07 17:53:13.071, 10.90 W
2025/05/07 17:53:13.081, 10.90 W
2025/05/07 17:53:13.091, 10.90 W
2025/05/07 17:53:13.101, 10.90 W
2025/05/07 17:53:13.111, 10.93 W
2025/05/07 17:53:13.122, 10.93 W
2025/05/07 17:53:13.132, 10.93 W
2025/05/07 17:53:13.142, 10.93 W
2025/05/07 17:53:13.152, 10.93 W
2025/05/07 17:53:13.162, 10.93 W
2025/05/07 17:53:13.172, 10.93 W
2025/05/07 17:53:13.182, 10.93 W
2025/05/07 17:53:13.192, 10.93 W
2025/05/07 17:53:13.202, 10.93 W
2025/05/07 17:53:13.212, 10.93 W
2025/05/07 17:53:13.222, 10.93 W
2025/05/07 17:53:13.232, 10.93 W
2025/05/07 17:53:13.243, 10.93 W
2025/05/07 17:53:13.253, 10.93 W
2025/05/07 17:53:13.263, 10.93 W
2025/05/07 17:53:13.273, 10.93 W
2025/05/07 17:53:13.283, 10.93 W
2025/05/07 17:53:13.293, 10.93 W
2025/05/07 17:53:13.303, 10.93 W
2025/05/07 17:53:13.313, 10.95 W
2025/05/07 17:53:13.323, 10.95 W
2025/05/07 17:53:13.333, 10.95 W
2025/05/07 17:53:13.343, 10.95 W
2025/05/07 17:53:13.353, 10.95 W
2025/05/07 17:53:13.363, 10.95 W
2025/05/07 17:53:13.374, 10.95 W
2025/05/07 17:53:13.384, 10.95 W
2025/05/07 17:53:13.394, 10.95 W
2025/05/07 17:53:13.404, 11.05 W
2025/05/07 17:53:13.414, 11.05 W
2025/05/07 17:53:13.424, 11.05 W
2025/05/07 17:53:13.434, 11.05 W
2025/05/07 17:53:13.444, 11.05 W
2025/05/07 17:53:13.454, 11.05 W
2025/05/07 17:53:13.464, 11.05 W
2025/05/07 17:53:13.474, 11.05 W
2025/05/07 17:53:13.484, 11.05 W
2025/05/07 17:53:13.494, 11.05 W
2025/05/07 17:53:13.504, 12.21 W
2025/05/07 17:53:13.515, 12.21 W
2025/05/07 17:53:13.525, 12.21 W
2025/05/07 17:53:13.535, 12.21 W
2025/05/07 17:53:13.545, 12.21 W
2025/05/07 17:53:13.555, 12.21 W
2025/05/07 17:53:13.565, 12.21 W
2025/05/07 17:53:13.575, 12.21 W
2025/05/07 17:53:13.585, 12.21 W
2025/05/07 17:53:13.595, 12.21 W
2025/05/07 17:53:13.605, 13.52 W
2025/05/07 17:53:13.615, 13.52 W
2025/05/07 17:53:13.625, 13.52 W
2025/05/07 17:53:13.636, 13.52 W
2025/05/07 17:53:13.646, 13.52 W
2025/05/07 17:53:13.656, 13.52 W
2025/05/07 17:53:13.666, 13.52 W
2025/05/07 17:53:13.676, 13.52 W
2025/05/07 17:53:13.686, 13.52 W
2025/05/07 17:53:13.696, 13.52 W
2025/05/07 17:53:13.706, 14.83 W
2025/05/07 17:53:13.716, 14.83 W
2025/05/07 17:53:13.726, 14.83 W
2025/05/07 17:53:13.736, 14.83 W
2025/05/07 17:53:13.747, 14.83 W
2025/05/07 17:53:13.757, 14.83 W
2025/05/07 17:53:13.767, 14.83 W
2025/05/07 17:53:13.777, 14.83 W
2025/05/07 17:53:13.787, 14.83 W
2025/05/07 17:53:13.797, 14.83 W
2025/05/07 17:53:13.807, 16.13 W
2025/05/07 17:53:13.817, 16.13 W
2025/05/07 17:53:13.827, 16.13 W
2025/05/07 17:53:13.837, 16.13 W
2025/05/07 17:53:13.847, 16.13 W
2025/05/07 17:53:13.858, 16.13 W
2025/05/07 17:53:13.868, 16.13 W
2025/05/07 17:53:13.878, 16.13 W
2025/05/07 17:53:13.888, 16.13 W
2025/05/07 17:53:13.898, 16.13 W
2025/05/07 17:53:13.908, 17.43 W
2025/05/07 17:53:13.918, 17.43 W
2025/05/07 17:53:13.928, 17.43 W
2025/05/07 17:53:13.938, 17.43 W
2025/05/07 17:53:13.948, 17.43 W
2025/05/07 17:53:13.958, 17.43 W
2025/05/07 17:53:13.969, 17.43 W
2025/05/07 17:53:13.979, 17.43 W
2025/05/07 17:53:13.989, 17.43 W
2025/05/07 17:53:13.999, 17.43 W
2025/05/07 17:53:14.009, 18.74 W
2025/05/07 17:53:14.019, 18.74 W
2025/05/07 17:53:14.029, 18.74 W
2025/05/07 17:53:14.039, 18.74 W
2025/05/07 17:53:14.049, 18.74 W
2025/05/07 17:53:14.059, 18.74 W
2025/05/07 17:53:14.069, 18.74 W
2025/05/07 17:53:14.080, 18.74 W
2025/05/07 17:53:14.090, 18.74 W
2025/05/07 17:53:14.100, 19.99 W
2025/05/07 17:53:14.110, 19.99 W
2025/05/07 17:53:14.120, 19.99 W
2025/05/07 17:53:14.130, 19.99 W
2025/05/07 17:53:14.140, 19.99 W
2025/05/07 17:53:14.150, 19.99 W
2025/05/07 17:53:14.160, 19.99 W
2025/05/07 17:53:14.170, 19.99 W
2025/05/07 17:53:14.180, 19.99 W
2025/05/07 17:53:14.191, 19.99 W
2025/05/07 17:53:14.201, 21.25 W
2025/05/07 17:53:14.211, 21.25 W
2025/05/07 17:53:14.221, 21.25 W
2025/05/07 17:53:14.231, 21.25 W
2025/05/07 17:53:14.241, 21.25 W
2025/05/07 17:53:14.251, 21.25 W
2025/05/07 17:53:14.261, 21.25 W
2025/05/07 17:53:14.271, 21.25 W
2025/05/07 17:53:14.281, 21.25 W
2025/05/07 17:53:14.291, 21.25 W
2025/05/07 17:53:14.302, 22.55 W
2025/05/07 17:53:14.312, 22.55 W
2025/05/07 17:53:14.322, 22.55 W
