timestamp, power.draw [W]
2025/05/07 17:33:15.216, 10.85 W
2025/05/07 17:33:15.242, 10.85 W
2025/05/07 17:33:15.252, 10.85 W
2025/05/07 17:33:15.262, 10.85 W
2025/05/07 17:33:15.272, 10.85 W
2025/05/07 17:33:15.282, 10.85 W
2025/05/07 17:33:15.292, 10.85 W
2025/05/07 17:33:15.302, 10.85 W
2025/05/07 17:33:15.312, 10.85 W
2025/05/07 17:33:15.322, 10.85 W
2025/05/07 17:33:15.332, 10.85 W
2025/05/07 17:33:15.343, 10.85 W
2025/05/07 17:33:15.353, 10.85 W
2025/05/07 17:33:15.363, 10.85 W
2025/05/07 17:33:15.373, 10.85 W
2025/05/07 17:33:15.383, 10.85 W
2025/05/07 17:33:15.393, 10.85 W
2025/05/07 17:33:15.403, 10.85 W
2025/05/07 17:33:15.413, 10.85 W
2025/05/07 17:33:15.423, 10.85 W
2025/05/07 17:33:15.433, 10.85 W
2025/05/07 17:33:15.444, 10.85 W
2025/05/07 17:33:15.454, 10.85 W
2025/05/07 17:33:15.464, 10.85 W
2025/05/07 17:33:15.474, 10.85 W
2025/05/07 17:33:15.484, 10.85 W
2025/05/07 17:33:15.494, 10.85 W
2025/05/07 17:33:15.504, 10.87 W
2025/05/07 17:33:15.514, 10.87 W
2025/05/07 17:33:15.524, 10.87 W
2025/05/07 17:33:15.534, 10.87 W
2025/05/07 17:33:15.544, 10.87 W
2025/05/07 17:33:15.555, 10.87 W
2025/05/07 17:33:15.565, 10.87 W
2025/05/07 17:33:15.575, 10.87 W
2025/05/07 17:33:15.585, 10.87 W
2025/05/07 17:33:15.595, 10.87 W
2025/05/07 17:33:15.605, 10.86 W
2025/05/07 17:33:15.615, 10.86 W
2025/05/07 17:33:15.625, 10.86 W
2025/05/07 17:33:15.635, 10.86 W
2025/05/07 17:33:15.645, 10.86 W
2025/05/07 17:33:15.655, 10.86 W
2025/05/07 17:33:15.666, 10.86 W
2025/05/07 17:33:15.676, 10.86 W
2025/05/07 17:33:15.686, 10.86 W
2025/05/07 17:33:15.696, 10.86 W
2025/05/07 17:33:15.706, 10.86 W
2025/05/07 17:33:15.716, 10.85 W
2025/05/07 17:33:15.726, 10.85 W
2025/05/07 17:33:15.736, 10.85 W
2025/05/07 17:33:15.746, 10.85 W
2025/05/07 17:33:15.756, 10.85 W
2025/05/07 17:33:15.767, 10.85 W
2025/05/07 17:33:15.777, 10.85 W
2025/05/07 17:33:15.787, 10.85 W
2025/05/07 17:33:15.797, 10.85 W
2025/05/07 17:33:15.807, 10.85 W
2025/05/07 17:33:15.817, 12.22 W
2025/05/07 17:33:15.827, 12.22 W
2025/05/07 17:33:15.837, 12.22 W
2025/05/07 17:33:15.847, 12.22 W
2025/05/07 17:33:15.857, 12.22 W
2025/05/07 17:33:15.867, 12.22 W
2025/05/07 17:33:15.878, 12.22 W
2025/05/07 17:33:15.888, 12.22 W
2025/05/07 17:33:15.898, 12.22 W
