timestamp, power.draw [W]
2025/04/21 18:35:00.106, 27.98 W
2025/04/21 18:35:00.116, 27.98 W
2025/04/21 18:35:00.126, 27.98 W
2025/04/21 18:35:00.136, 27.98 W
2025/04/21 18:35:00.146, 27.98 W
2025/04/21 18:35:00.156, 27.98 W
2025/04/21 18:35:00.166, 27.98 W
2025/04/21 18:35:00.177, 27.98 W
2025/04/21 18:35:00.187, 27.98 W
2025/04/21 18:35:00.197, 27.98 W
2025/04/21 18:35:00.207, 27.98 W
2025/04/21 18:35:00.218, 27.98 W
2025/04/21 18:35:00.228, 27.98 W
2025/04/21 18:35:00.238, 27.98 W
2025/04/21 18:35:00.249, 27.98 W
2025/04/21 18:35:00.259, 27.98 W
2025/04/21 18:35:00.269, 27.98 W
2025/04/21 18:35:00.279, 27.98 W
2025/04/21 18:35:00.290, 27.98 W
2025/04/21 18:35:00.301, 27.98 W
2025/04/21 18:35:00.311, 27.98 W
2025/04/21 18:35:00.321, 27.98 W
2025/04/21 18:35:00.331, 27.98 W
2025/04/21 18:35:00.341, 27.98 W
2025/04/21 18:35:00.351, 27.98 W
2025/04/21 18:35:00.361, 27.98 W
2025/04/21 18:35:00.372, 27.98 W
2025/04/21 18:35:00.382, 27.98 W
2025/04/21 18:35:00.392, 27.98 W
2025/04/21 18:35:00.402, 27.98 W
2025/04/21 18:35:00.412, 27.98 W
2025/04/21 18:35:00.422, 27.98 W
2025/04/21 18:35:00.432, 27.98 W
2025/04/21 18:35:00.442, 27.98 W
2025/04/21 18:35:00.453, 27.98 W
2025/04/21 18:35:00.463, 27.98 W
2025/04/21 18:35:00.473, 27.98 W
2025/04/21 18:35:00.483, 27.98 W
2025/04/21 18:35:00.493, 27.98 W
2025/04/21 18:35:00.503, 27.98 W
2025/04/21 18:35:00.513, 27.98 W
2025/04/21 18:35:00.524, 27.98 W
2025/04/21 18:35:00.534, 27.98 W
2025/04/21 18:35:00.544, 27.98 W
2025/04/21 18:35:00.554, 27.98 W
2025/04/21 18:35:00.564, 27.98 W
2025/04/21 18:35:00.574, 26.93 W
2025/04/21 18:35:00.591, 26.93 W
2025/04/21 18:35:00.616, 26.93 W
2025/04/21 18:35:00.626, 26.93 W
2025/04/21 18:35:00.637, 26.93 W
2025/04/21 18:35:00.647, 28.56 W
2025/04/21 18:35:00.657, 28.56 W
2025/04/21 18:35:00.667, 28.56 W
2025/04/21 18:35:00.677, 28.56 W
2025/04/21 18:35:00.687, 28.56 W
2025/04/21 18:35:00.698, 28.56 W
2025/04/21 18:35:00.708, 28.56 W
2025/04/21 18:35:00.718, 28.56 W
2025/04/21 18:35:00.728, 28.56 W
2025/04/21 18:35:00.738, 28.56 W
2025/04/21 18:35:00.748, 38.02 W
2025/04/21 18:35:00.758, 38.02 W
2025/04/21 18:35:00.768, 38.02 W
2025/04/21 18:35:00.779, 38.02 W
2025/04/21 18:35:00.789, 38.02 W
2025/04/21 18:35:00.799, 38.02 W
2025/04/21 18:35:00.809, 38.02 W
2025/04/21 18:35:00.819, 38.02 W
2025/04/21 18:35:00.829, 38.02 W
2025/04/21 18:35:00.839, 44.56 W
2025/04/21 18:35:00.849, 44.56 W
2025/04/21 18:35:00.860, 44.56 W
2025/04/21 18:35:00.870, 44.56 W
2025/04/21 18:35:00.880, 44.56 W
2025/04/21 18:35:00.890, 44.56 W
2025/04/21 18:35:00.900, 44.56 W
2025/04/21 18:35:00.910, 44.56 W
2025/04/21 18:35:00.920, 44.56 W
2025/04/21 18:35:00.931, 44.56 W
2025/04/21 18:35:00.941, 50.06 W
2025/04/21 18:35:00.951, 50.06 W
2025/04/21 18:35:00.961, 50.06 W
2025/04/21 18:35:00.971, 50.06 W
2025/04/21 18:35:00.981, 50.06 W
2025/04/21 18:35:00.991, 50.06 W
2025/04/21 18:35:01.001, 50.06 W
2025/04/21 18:35:01.012, 50.06 W
2025/04/21 18:35:01.022, 50.06 W
2025/04/21 18:35:01.032, 50.06 W
2025/04/21 18:35:01.042, 54.77 W
2025/04/21 18:35:01.052, 54.77 W
2025/04/21 18:35:01.062, 54.77 W
2025/04/21 18:35:01.072, 54.77 W
2025/04/21 18:35:01.082, 54.77 W
2025/04/21 18:35:01.093, 54.77 W
2025/04/21 18:35:01.103, 54.77 W
2025/04/21 18:35:01.113, 54.77 W
2025/04/21 18:35:01.123, 54.77 W
2025/04/21 18:35:01.133, 54.77 W
2025/04/21 18:35:01.143, 58.86 W
2025/04/21 18:35:01.153, 58.86 W
2025/04/21 18:35:01.163, 58.86 W
2025/04/21 18:35:01.174, 58.86 W
2025/04/21 18:35:01.184, 58.86 W
2025/04/21 18:35:01.194, 58.86 W
2025/04/21 18:35:01.204, 58.86 W
2025/04/21 18:35:01.214, 58.86 W
2025/04/21 18:35:01.224, 58.86 W
2025/04/21 18:35:01.234, 58.86 W
2025/04/21 18:35:01.245, 62.45 W
2025/04/21 18:35:01.255, 62.45 W
2025/04/21 18:35:01.265, 62.45 W
2025/04/21 18:35:01.275, 62.45 W
2025/04/21 18:35:01.285, 62.45 W
2025/04/21 18:35:01.295, 62.45 W
2025/04/21 18:35:01.305, 62.45 W
2025/04/21 18:35:01.315, 62.45 W
2025/04/21 18:35:01.326, 62.45 W
2025/04/21 18:35:01.336, 62.45 W
2025/04/21 18:35:01.346, 65.61 W
2025/04/21 18:35:01.356, 65.61 W
2025/04/21 18:35:01.366, 65.61 W
2025/04/21 18:35:01.376, 65.61 W
2025/04/21 18:35:01.386, 65.61 W
2025/04/21 18:35:01.396, 65.61 W
2025/04/21 18:35:01.407, 65.61 W
2025/04/21 18:35:01.417, 65.61 W
2025/04/21 18:35:01.427, 65.61 W
2025/04/21 18:35:01.437, 65.61 W
2025/04/21 18:35:01.447, 68.43 W
2025/04/21 18:35:01.457, 68.43 W
2025/04/21 18:35:01.467, 68.43 W
2025/04/21 18:35:01.477, 68.43 W
2025/04/21 18:35:01.488, 68.43 W
2025/04/21 18:35:01.498, 68.43 W
2025/04/21 18:35:01.508, 68.43 W
2025/04/21 18:35:01.518, 68.43 W
2025/04/21 18:35:01.528, 68.43 W
2025/04/21 18:35:01.538, 70.97 W
2025/04/21 18:35:01.548, 70.97 W
2025/04/21 18:35:01.559, 70.97 W
2025/04/21 18:35:01.569, 70.97 W
2025/04/21 18:35:01.579, 70.97 W
2025/04/21 18:35:01.589, 70.97 W
2025/04/21 18:35:01.599, 70.97 W
2025/04/21 18:35:01.609, 70.97 W
2025/04/21 18:35:01.619, 70.97 W
2025/04/21 18:35:01.629, 70.97 W
2025/04/21 18:35:01.640, 114.21 W
2025/04/21 18:35:01.650, 114.21 W
2025/04/21 18:35:01.660, 114.21 W
2025/04/21 18:35:01.670, 114.21 W
2025/04/21 18:35:01.680, 114.21 W
2025/04/21 18:35:01.690, 114.21 W
2025/04/21 18:35:01.700, 114.21 W
2025/04/21 18:35:01.710, 114.21 W
2025/04/21 18:35:01.721, 114.21 W
2025/04/21 18:35:01.731, 114.21 W
2025/04/21 18:35:01.741, 116.21 W
2025/04/21 18:35:01.751, 116.21 W
2025/04/21 18:35:01.761, 116.21 W
2025/04/21 18:35:01.771, 116.21 W
2025/04/21 18:35:01.781, 116.21 W
2025/04/21 18:35:01.792, 116.21 W
2025/04/21 18:35:01.802, 116.21 W
2025/04/21 18:35:01.812, 116.21 W
2025/04/21 18:35:01.822, 116.21 W
2025/04/21 18:35:01.832, 116.21 W
2025/04/21 18:35:01.842, 116.27 W
2025/04/21 18:35:01.852, 116.27 W
2025/04/21 18:35:01.863, 116.27 W
2025/04/21 18:35:01.873, 116.27 W
2025/04/21 18:35:01.883, 116.27 W
2025/04/21 18:35:01.893, 116.27 W
2025/04/21 18:35:01.903, 116.27 W
2025/04/21 18:35:01.913, 116.27 W
2025/04/21 18:35:01.923, 116.27 W
2025/04/21 18:35:01.933, 116.27 W
2025/04/21 18:35:01.944, 116.26 W
2025/04/21 18:35:01.954, 116.26 W
2025/04/21 18:35:01.964, 116.26 W
2025/04/21 18:35:01.974, 116.26 W
2025/04/21 18:35:01.984, 116.26 W
2025/04/21 18:35:01.994, 116.26 W
2025/04/21 18:35:02.005, 116.26 W
2025/04/21 18:35:02.015, 116.26 W
2025/04/21 18:35:02.025, 116.26 W
2025/04/21 18:35:02.035, 116.26 W
2025/04/21 18:35:02.045, 119.91 W
2025/04/21 18:35:02.055, 119.91 W
2025/04/21 18:35:02.065, 119.91 W
2025/04/21 18:35:02.075, 119.91 W
2025/04/21 18:35:02.086, 119.91 W
2025/04/21 18:35:02.096, 119.91 W
2025/04/21 18:35:02.106, 119.91 W
2025/04/21 18:35:02.116, 119.91 W
2025/04/21 18:35:02.126, 119.91 W
2025/04/21 18:35:02.136, 119.91 W
2025/04/21 18:35:02.146, 126.22 W
2025/04/21 18:35:02.156, 126.22 W
2025/04/21 18:35:02.167, 126.22 W
2025/04/21 18:35:02.177, 126.22 W
2025/04/21 18:35:02.187, 126.22 W
2025/04/21 18:35:02.197, 126.22 W
2025/04/21 18:35:02.207, 126.22 W
2025/04/21 18:35:02.217, 126.22 W
2025/04/21 18:35:02.227, 126.22 W
2025/04/21 18:35:02.237, 126.22 W
2025/04/21 18:35:02.248, 132.86 W
2025/04/21 18:35:02.258, 132.86 W
2025/04/21 18:35:02.268, 132.86 W
2025/04/21 18:35:02.278, 132.86 W
2025/04/21 18:35:02.288, 132.86 W
2025/04/21 18:35:02.298, 132.86 W
2025/04/21 18:35:02.308, 132.86 W
2025/04/21 18:35:02.318, 132.86 W
2025/04/21 18:35:02.329, 132.86 W
2025/04/21 18:35:02.339, 144.66 W
2025/04/21 18:35:02.349, 144.66 W
2025/04/21 18:35:02.359, 144.66 W
2025/04/21 18:35:02.369, 144.66 W
2025/04/21 18:35:02.379, 144.66 W
2025/04/21 18:35:02.389, 144.66 W
2025/04/21 18:35:02.399, 144.66 W
2025/04/21 18:35:02.410, 144.66 W
2025/04/21 18:35:02.420, 144.66 W
2025/04/21 18:35:02.430, 144.66 W
2025/04/21 18:35:02.440, 158.07 W
2025/04/21 18:35:02.450, 158.07 W
2025/04/21 18:35:02.460, 158.07 W
2025/04/21 18:35:02.470, 158.07 W
2025/04/21 18:35:02.481, 158.07 W
2025/04/21 18:35:02.491, 158.07 W
2025/04/21 18:35:02.501, 158.07 W
2025/04/21 18:35:02.511, 158.07 W
2025/04/21 18:35:02.521, 158.07 W
2025/04/21 18:35:02.531, 158.07 W
2025/04/21 18:35:02.541, 172.13 W
2025/04/21 18:35:02.551, 172.13 W
2025/04/21 18:35:02.562, 172.13 W
2025/04/21 18:35:02.572, 172.13 W
2025/04/21 18:35:02.582, 172.13 W
2025/04/21 18:35:02.592, 172.13 W
2025/04/21 18:35:02.602, 172.13 W
2025/04/21 18:35:02.612, 172.13 W
2025/04/21 18:35:02.622, 172.13 W
2025/04/21 18:35:02.632, 172.13 W
2025/04/21 18:35:02.643, 186.31 W
2025/04/21 18:35:02.653, 186.31 W
2025/04/21 18:35:02.663, 186.31 W
2025/04/21 18:35:02.673, 186.31 W
2025/04/21 18:35:02.683, 186.31 W
2025/04/21 18:35:02.693, 186.31 W
2025/04/21 18:35:02.703, 186.31 W
2025/04/21 18:35:02.713, 186.31 W
2025/04/21 18:35:02.724, 186.31 W
2025/04/21 18:35:02.734, 186.31 W
2025/04/21 18:35:02.744, 200.61 W
2025/04/21 18:35:02.754, 200.61 W
2025/04/21 18:35:02.764, 200.61 W
2025/04/21 18:35:02.774, 200.61 W
2025/04/21 18:35:02.784, 200.61 W
2025/04/21 18:35:02.794, 200.61 W
2025/04/21 18:35:02.805, 200.61 W
