timestamp, power.draw [W]
2025/04/21 18:31:04.662, 26.03 W
2025/04/21 18:31:04.672, 26.03 W
2025/04/21 18:31:04.682, 26.03 W
2025/04/21 18:31:04.693, 26.03 W
2025/04/21 18:31:04.703, 26.03 W
2025/04/21 18:31:04.713, 26.03 W
2025/04/21 18:31:04.723, 26.03 W
2025/04/21 18:31:04.733, 26.03 W
2025/04/21 18:31:04.743, 26.03 W
2025/04/21 18:31:04.754, 26.03 W
2025/04/21 18:31:04.764, 26.03 W
2025/04/21 18:31:04.774, 26.03 W
2025/04/21 18:31:04.785, 26.03 W
2025/04/21 18:31:04.795, 26.03 W
2025/04/21 18:31:04.805, 26.03 W
2025/04/21 18:31:04.815, 26.03 W
2025/04/21 18:31:04.827, 26.03 W
2025/04/21 18:31:04.843, 26.03 W
2025/04/21 18:31:04.853, 26.03 W
2025/04/21 18:31:04.863, 26.03 W
2025/04/21 18:31:04.873, 26.03 W
2025/04/21 18:31:04.883, 26.03 W
2025/04/21 18:31:04.893, 26.03 W
2025/04/21 18:31:04.903, 26.03 W
2025/04/21 18:31:04.914, 26.03 W
2025/04/21 18:31:04.924, 26.03 W
2025/04/21 18:31:04.934, 26.03 W
2025/04/21 18:31:04.944, 26.03 W
2025/04/21 18:31:04.954, 26.03 W
2025/04/21 18:31:04.964, 26.03 W
2025/04/21 18:31:04.974, 26.03 W
2025/04/21 18:31:04.984, 26.03 W
2025/04/21 18:31:04.995, 26.03 W
2025/04/21 18:31:05.005, 26.03 W
2025/04/21 18:31:05.015, 26.03 W
2025/04/21 18:31:05.025, 26.03 W
2025/04/21 18:31:05.035, 26.03 W
2025/04/21 18:31:05.045, 26.03 W
2025/04/21 18:31:05.055, 26.03 W
2025/04/21 18:31:05.065, 26.03 W
2025/04/21 18:31:05.075, 26.03 W
2025/04/21 18:31:05.086, 26.03 W
2025/04/21 18:31:05.096, 26.03 W
2025/04/21 18:31:05.106, 26.17 W
2025/04/21 18:31:05.117, 26.50 W
2025/04/21 18:31:05.149, 26.50 W
2025/04/21 18:31:05.159, 26.50 W
2025/04/21 18:31:05.169, 26.50 W
2025/04/21 18:31:05.179, 26.50 W
2025/04/21 18:31:05.189, 26.50 W
2025/04/21 18:31:05.200, 26.50 W
2025/04/21 18:31:05.210, 26.50 W
2025/04/21 18:31:05.220, 32.60 W
2025/04/21 18:31:05.230, 32.60 W
2025/04/21 18:31:05.240, 32.60 W
2025/04/21 18:31:05.250, 32.60 W
2025/04/21 18:31:05.260, 32.60 W
2025/04/21 18:31:05.270, 32.60 W
2025/04/21 18:31:05.280, 32.60 W
2025/04/21 18:31:05.291, 32.60 W
2025/04/21 18:31:05.301, 32.60 W
2025/04/21 18:31:05.311, 32.60 W
2025/04/21 18:31:05.321, 39.41 W
2025/04/21 18:31:05.331, 39.41 W
2025/04/21 18:31:05.341, 39.41 W
2025/04/21 18:31:05.351, 39.41 W
2025/04/21 18:31:05.361, 39.41 W
2025/04/21 18:31:05.371, 39.41 W
2025/04/21 18:31:05.381, 39.41 W
2025/04/21 18:31:05.392, 39.41 W
2025/04/21 18:31:05.402, 39.41 W
2025/04/21 18:31:05.412, 45.15 W
2025/04/21 18:31:05.422, 45.15 W
2025/04/21 18:31:05.432, 45.15 W
2025/04/21 18:31:05.442, 45.15 W
2025/04/21 18:31:05.452, 45.15 W
2025/04/21 18:31:05.462, 45.15 W
2025/04/21 18:31:05.472, 45.15 W
2025/04/21 18:31:05.483, 45.15 W
2025/04/21 18:31:05.493, 45.15 W
2025/04/21 18:31:05.503, 45.15 W
2025/04/21 18:31:05.513, 50.09 W
2025/04/21 18:31:05.523, 50.09 W
2025/04/21 18:31:05.533, 50.09 W
2025/04/21 18:31:05.543, 50.09 W
2025/04/21 18:31:05.554, 50.09 W
2025/04/21 18:31:05.564, 50.09 W
2025/04/21 18:31:05.574, 50.09 W
2025/04/21 18:31:05.584, 50.09 W
2025/04/21 18:31:05.594, 50.09 W
2025/04/21 18:31:05.604, 50.09 W
2025/04/21 18:31:05.614, 54.38 W
2025/04/21 18:31:05.624, 54.38 W
2025/04/21 18:31:05.634, 54.38 W
2025/04/21 18:31:05.645, 54.38 W
2025/04/21 18:31:05.655, 54.38 W
2025/04/21 18:31:05.665, 54.38 W
2025/04/21 18:31:05.675, 54.38 W
2025/04/21 18:31:05.685, 54.38 W
2025/04/21 18:31:05.695, 54.38 W
